state,gadm_name,mean_annual_temp_c,precip_seasonality_cv,mean_vapor_pressure_kpa,data_source,extraction_method,resolution,period
Ogun,Ogun,26.75,66.65,2.753,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Ondo,Ondo,25.79,67.35,2.59,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Osun,Osun,25.74,67.3,2.482,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Oyo,Oyo,26.17,70.33,2.446,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Plateau,Plateau,25.58,99.51,1.851,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Rivers,Rivers,26.44,63.39,2.912,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Sokoto,Sokoto,28.2,133.19,1.616,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Taraba,Taraba,26.19,91.68,2.071,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Yobe,Yobe,27.37,148.51,1.482,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
Zamfara,Zamfara,26.91,124.8,1.668,WorldClim 2.1 (Fick & Hijmans 2017),Zonal statistics (rasterio + geopandas),2.5 arc-minutes (~4.5 km),1970-2000 baseline
